id_etudiant,code_ue
ETU001,INF201
ETU001,INF202
ETU001,MAT201
ETU002,INF201
ETU002,INF203
ETU002,PHY201
ETU003,INF201
ETU003,MAT201
ETU003,CHM201
ETU004,INF202
ETU004,INF204
ETU004,MAT202
ETU005,INF202
ETU005,INF205
ETU005,PHY202
ETU006,INF203
ETU006,INF204
ETU006,MAT203
ETU007,INF203
ETU007,INF206
ETU007,PHY201
ETU008,INF204
ETU008,INF205
ETU008,MAT204
ETU009,INF205
ETU009,INF206
ETU009,CHM202
ETU010,INF206
ETU010,INF301
ETU010,PHY203
ETU011,MAT201
ETU011,MAT202
ETU011,PHY201
ETU012,MAT201
ETU012,MAT203
ETU012,CHM201
ETU013,MAT202
ETU013,MAT204
ETU013,PHY202
ETU014,MAT203
ETU014,MAT204
ETU014,CHM202
ETU015,MAT204
ETU015,BOA201
ETU015,PHY203
ETU016,PHY201
ETU016,PHY202
ETU016,BOA202
ETU017,PHY201
ETU017,PHY203
ETU017,CHM203
ETU018,PHY202
ETU018,PHY204
ETU018,BOA201
ETU019,PHY203
ETU019,PHY204
ETU019,BOA203
ETU020,PHY204
ETU020,CHM201
ETU020,BOA204
ETU021,CHM201
ETU021,CHM202
ETU021,BOA202
ETU022,CHM202
ETU022,CHM203
ETU022,BOA203
ETU023,CHM203
ETU023,BOA201
ETU023,BOA204
ETU024,BOA201
ETU024,BOA202
ETU024,INF301
ETU025,BOA202
ETU025,BOA203
ETU025,INF302
ETU026,BOA203
ETU026,BOA204
ETU026,INF303
ETU027,BOA204
ETU027,INF301
ETU027,INF302
ETU028,INF301
ETU028,INF302
ETU028,INF303
ETU029,INF302
ETU029,INF303
ETU029,MAT201
ETU030,INF303
ETU030,INF201
ETU030,MAT202
